1560,F2,Nearest Beautiful Number (hard version),"['bitmasks', 'brute force', 'constructive algorithms', 'dfs and similar', 'dp', 'greedy']",2100
1560,F1,Nearest Beautiful Number (easy version),"['binary search', 'bitmasks', 'brute force', 'constructive algorithms', 'dfs and similar', 'greedy']",1900
1560,E,Polycarp and String Transformation,"['binary search', 'implementation', 'sortings', 'strings']",1800
1560,D,Make a Power of Two,"['greedy', 'math', 'strings']",1300
1560,C,Infinity Table,"['implementation', 'math']",800
1560,B,Who's Opposite?,['math'],800
1560,A,Dislike of Threes,['implementation'],800
1559,E,Mocha and Stars,"['combinatorics', 'dp', 'fft', 'math', 'number theory']",2200
1559,D2,Mocha and Diana (Hard Version),"['brute force', 'constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'trees', 'two pointers']",2500
1559,D1,Mocha and Diana (Easy Version),"['brute force', 'constructive algorithms', 'dsu', 'graphs', 'greedy', 'trees']",1400
1559,C,Mocha and Hiking,"['constructive algorithms', 'graphs']",1200
1559,B,Mocha and Red and Blue,"['dp', 'greedy']",900
1559,A,Mocha and Math,"['bitmasks', 'constructive algorithms', 'math']",900
1557,E,Assiut Chess,"['brute force', 'constructive algorithms', 'interactive']",2800
1557,D,Ezzat and Grid,"['data structures', 'dp', 'greedy']",2200
1557,C,Moamen and XOR,"['bitmasks', 'combinatorics', 'dp', 'math', 'matrices']",1700
1557,B,Moamen and k-subarrays,"['greedy', 'sortings']",1100
1557,A,Ezzat and Two Subsequences,"['brute force', 'math', 'sortings']",800
1555,F,Good Graph,"['data structures', 'dsu', 'graphs', 'trees']",2700
1555,E,Boring Segments,"['data structures', 'sortings', 'trees', 'two pointers']",2100
1555,D,Say No to Palindromes,"['brute force', 'constructive algorithms', 'dp', 'strings']",1600
1555,C,Coin Rows,"['brute force', 'constructive algorithms', 'dp', 'implementation']",1300
1555,B,Two Tables,['brute force'],1300
1555,A,PizzaForces,"['brute force', 'math']",900
1554,E,You,"['dfs and similar', 'dp', 'math', 'number theory']",2600
1554,D,Diane,"['constructive algorithms', 'greedy', 'strings']",1800
1554,C,Mikasa,"['binary search', 'bitmasks', 'greedy', 'implementation']",1800
1554,B,Cobb,"['bitmasks', 'brute force', 'greedy', 'math']",1700
1554,A,Cherry,['greedy'],800
1553,I,Stairs,"['combinatorics', 'divide and conquer', 'dp', 'fft', 'math']",3400
1553,H,XOR and Distance,"['bitmasks', 'divide and conquer', 'trees']",2900
1553,G,Common Divisor Graph,"['brute force', 'constructive algorithms', 'dsu', 'graphs', 'hashing', 'math', 'number theory']",2700
1553,F,Pairwise Modulo,"['data structures', 'math']",2300
1553,E,Permutation Shift,"['brute force', 'combinatorics', 'constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'math']",2100
1553,D,Backspace,"['dp', 'greedy', 'strings', 'two pointers']",1500
1553,C,Penalty,"['bitmasks', 'brute force', 'dp', 'greedy']",1200
1553,B,Reverse String,"['brute force', 'dp', 'hashing', 'implementation', 'strings']",1300
1553,A,Digits Sum,"['math', 'number theory']",800
1552,I,Organizing a Music Festival,"['dfs and similar', 'math']",3400
1552,H,Guess the Perimeter,"['binary search', 'interactive', 'number theory']",3300
1552,G,A Serious Referee,"['bitmasks', 'brute force', 'dfs and similar', 'sortings']",3000
1552,F,Telepanting,"['binary search', 'data structures', 'dp', 'sortings']",2200
1552,E,Colors and Intervals,"['constructive algorithms', 'data structures', 'greedy', 'sortings']",2300
1552,D,Array Differentiation,"['bitmasks', 'brute force', 'constructive algorithms', 'dfs and similar', 'dp', 'graphs', 'math']",1800
1552,C,Maximize the Intersections,"['combinatorics', 'constructive algorithms', 'geometry', 'greedy', 'sortings']",1800
1552,B,Running for Gold,"['combinatorics', 'graphs', 'greedy', 'sortings']",1500
1552,A,Subsequence Permutation,"['sortings', 'strings']",800
1551,F,Equidistant Vertices,"['brute force', 'combinatorics', 'dfs and similar', 'dp', 'trees']",2200
1551,E,Fixed Points,"['binary search', 'brute force', 'dp']",2000
1551,D2,Domino (hard version),"['constructive algorithms', 'implementation', 'math']",2100
1551,D1,Domino (easy version),"['constructive algorithms', 'math']",1700
1551,C,Interesting Story,"['greedy', 'sortings', 'strings']",1500
1551,B2,Wonderful Coloring - 2,"['binary search', 'constructive algorithms', 'data structures', 'greedy']",1400
1551,B1,Wonderful Coloring - 1,"['greedy', 'strings']",800
1551,A,Polycarp and Coins,"['greedy', 'math']",800
1550,F,Jumping Around,"['binary search', 'data structures', 'divide and conquer', 'dp', 'dsu', 'graphs', 'shortest paths']",2700
1550,E,Stringforces,"['binary search', 'bitmasks', 'brute force', 'dp', 'strings', 'two pointers']",2500
1550,D,Excellent Arrays,"['binary search', 'combinatorics', 'constructive algorithms', 'implementation', 'math', 'sortings', 'two pointers']",2300
1550,C,Manhattan Subarrays,"['brute force', 'geometry', 'greedy', 'implementation']",1700
1550,B,Maximum Cost Deletion,"['greedy', 'math']",1000
1550,A,Find The Array,"['greedy', 'math']",800
1549,B,Gregor and the Pawn Game,"['dfs and similar', 'dp', 'flows', 'graph matchings', 'graphs', 'greedy', 'implementation']",800
1549,A,Gregor and Cryptography,"['math', 'number theory']",800
1548,E,Gregor and the Two Painters,"['data structures', 'divide and conquer', 'graphs', 'greedy', 'math']",3400
1548,D2,Gregor and the Odd Cows (Hard),"['brute force', 'geometry', 'math', 'number theory']",3300
1548,D1,Gregor and the Odd Cows (Easy),"['bitmasks', 'geometry', 'math', 'number theory']",2300
1548,C,The Three Little Pigs,"['combinatorics', 'dp', 'fft', 'math']",2500
1548,B,Integers Have Friends,"['binary search', 'data structures', 'divide and conquer', 'math', 'number theory', 'two pointers']",1800
1548,A,Web of Lies,"['brute force', 'graphs', 'greedy']",1400
1547,G,How Many Paths?,"['dfs and similar', 'dp', 'graphs', 'trees']",2100
1547,F,Array Stabilization (GCD version),"['binary search', 'brute force', 'data structures', 'divide and conquer', 'number theory', 'two pointers']",1900
1547,E,Air Conditioners,"['data structures', 'dp', 'implementation', 'shortest paths', 'sortings', 'two pointers']",1500
1547,D,Co-growing Sequence,"['bitmasks', 'constructive algorithms', 'greedy']",1300
1547,C,Pair Programming,"['greedy', 'two pointers']",1100
1547,B,Alphabetical Strings,"['greedy', 'implementation', 'strings']",800
1547,A,Shortest Path with Obstacle,"['implementation', 'math']",800
1546,B,AquaMoon and Stolen String,"['interactive', 'math']",1200
1546,A,AquaMoon and Two Arrays,"['brute force', 'greedy']",800
1545,F,AquaMoon and Potatoes,"['brute force', 'data structures', 'dp']",3500
1545,E2,AquaMoon and Time Stop (hard version),"['data structures', 'dp']",3500
1545,E1,AquaMoon and Time Stop (easy version),"['data structures', 'dp']",3500
1545,D,AquaMoon and Wrong Coordinate,"['constructive algorithms', 'interactive', 'math']",3000
